TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-08-11 12:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-11 13:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-11 14:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-11 15:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-11 16:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-11 17:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-11 18:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-11 19:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-11 20:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-11 21:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-11 22:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-11 23:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 00:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 01:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 02:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 03:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 04:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 05:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 06:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 07:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 08:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 09:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 10:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 11:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 12:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 13:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 14:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 15:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 16:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 17:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 18:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 19:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 20:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 21:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 22:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-12 23:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 00:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 01:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 02:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 03:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 04:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 05:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 06:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 07:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 08:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 09:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 10:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 11:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 12:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 13:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 14:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 15:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 16:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 17:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 18:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 19:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 20:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 21:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 22:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-13 23:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 00:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 01:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 02:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 03:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 04:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 05:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 06:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 07:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 08:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 09:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 10:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 11:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 12:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 13:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 14:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 15:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 16:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 17:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 18:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 19:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 20:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 21:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 22:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-14 23:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 00:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 01:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 02:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 03:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 04:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 05:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 06:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 07:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 08:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 09:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 10:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 11:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 12:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 13:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 14:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 15:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 16:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 17:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 18:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 19:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 20:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 21:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 22:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-15 23:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 00:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 01:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 02:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 03:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 04:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 05:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 06:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 07:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 08:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 09:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 10:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 11:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 12:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 13:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 14:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 15:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 16:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 17:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 18:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 19:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 20:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 21:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 22:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-16 23:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-17 00:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-17 01:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-17 02:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-17 03:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-17 04:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-17 05:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-17 06:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
2024-08-17 07:00:00,29.42,61.93,4.98,2.18,3.46,0.67,31.45,August,Monsoon,Ganesh Chaturthi & Navratri,61.93,Satisfactory,Kannur,Kerala,11.8763836,75.3737973
